student_id,attendance,study_hours,previous_score,assignments,sleep_hours,screen_time,engagement,risk_level
1,76.3,4.5,66.4,83.2,6.8,1.5,7.2,Medium
2,74.8,4.4,69.6,75.7,8.4,5.4,6.7,Medium
3,69.1,2.8,71.4,93.0,7.0,4.0,7.6,Medium
4,60.6,4.2,74.9,86.0,6.7,4.9,7.0,Medium
5,87.4,2.6,76.0,47.8,4.0,3.1,4.7,High
6,88.5,6.1,50.9,85.6,5.8,4.0,5.9,Medium
7,79.4,6.4,76.9,77.6,7.8,5.1,5.2,Medium
8,69.4,3.9,75.0,68.0,9.8,2.7,4.3,Medium
9,87.2,7.6,75.1,85.4,8.7,4.0,3.7,Low
10,71.6,6.7,47.8,72.5,7.3,3.6,7.9,Low
11,85.0,9.4,76.7,62.2,6.3,2.7,8.4,Low
12,71.2,4.7,78.5,60.4,6.6,1.0,4.3,Medium
13,71.2,5.6,84.7,71.7,7.3,4.5,8.7,Low
14,88.7,5.3,53.8,86.5,7.5,6.4,6.4,Medium
15,100.0,4.1,90.3,73.8,6.4,2.2,6.2,Low
16,95.1,6.4,77.6,34.0,7.9,5.2,5.4,Medium
17,70.5,4.8,92.1,55.1,6.5,6.7,5.6,Medium
18,73.6,5.0,50.6,75.5,5.5,5.8,6.5,Medium
19,100.0,5.4,87.1,51.1,6.9,4.8,10.0,Low
20,57.8,6.8,76.3,96.5,7.9,4.3,5.5,Medium
21,63.0,5.2,65.3,100.0,6.3,4.8,3.4,Medium
22,73.3,5.3,79.5,95.2,6.9,2.2,7.4,Low
23,84.2,5.8,58.2,90.1,7.1,5.5,9.0,Low
24,85.3,5.4,98.0,75.9,6.6,4.4,9.5,Low
25,79.4,5.8,84.7,63.8,4.9,4.7,7.0,Medium
26,70.7,6.5,76.5,56.1,7.6,3.8,3.5,Medium
27,83.4,4.7,57.6,80.4,7.6,3.2,7.3,Medium
28,90.2,3.4,73.3,72.0,9.7,1.0,7.9,Low
29,74.3,4.6,94.6,71.9,9.7,3.4,7.2,Low
30,72.1,3.4,68.9,67.5,7.2,1.0,10.0,Low
31,76.0,8.3,53.9,76.7,10.0,2.6,3.5,Low
32,71.4,5.7,77.7,92.6,6.7,1.3,5.6,Low
33,92.9,5.7,40.6,71.4,8.7,8.0,7.6,Medium
34,81.7,2.3,56.2,72.8,7.6,5.2,5.5,High
35,64.2,3.2,51.8,82.3,4.2,3.6,7.4,High
36,96.3,4.9,82.0,65.6,6.1,3.0,9.6,Low
37,89.9,5.8,98.0,71.5,7.7,4.8,6.1,Low
38,100.0,7.8,48.4,65.6,7.5,5.6,3.8,Medium
39,50.9,1.0,67.0,70.3,7.4,2.8,4.1,High
40,53.7,5.5,73.2,87.9,7.9,3.9,9.2,Low
41,76.4,3.5,60.7,62.6,4.4,4.5,7.0,High
42,73.7,3.4,73.2,99.5,7.0,3.3,5.3,Medium
43,77.2,2.3,66.2,73.0,9.2,5.9,8.6,Medium
44,69.4,6.1,52.0,77.0,7.5,2.8,10.0,Low
45,84.8,1.0,75.7,65.5,7.0,5.0,7.3,High
46,53.5,2.5,78.8,92.8,9.3,7.4,2.4,High
47,87.2,1.0,90.6,76.1,5.6,7.8,7.8,High
48,55.3,5.4,57.8,73.8,6.4,6.7,3.7,High
49,81.8,8.4,56.4,75.4,7.2,3.0,7.8,Low
50,79.2,2.9,92.7,84.7,6.8,3.1,4.9,Medium
51,92.8,4.5,74.4,69.0,7.7,4.0,8.0,Low
52,75.8,6.5,77.4,70.1,6.0,2.5,5.0,Medium
53,66.2,6.5,67.3,97.1,9.7,4.2,3.4,Medium
54,73.4,4.6,47.2,68.0,7.3,3.4,5.0,Medium
55,68.9,8.4,65.8,58.7,6.6,5.9,5.1,Medium
56,83.8,6.3,78.5,94.4,6.3,6.2,4.9,Medium
57,73.2,7.2,79.5,72.0,5.6,5.2,5.2,Medium
58,66.9,3.5,71.5,38.1,7.4,4.5,5.3,High
59,90.4,6.0,59.5,61.3,7.8,1.5,5.8,Low
60,70.4,4.9,71.0,72.6,8.4,4.6,5.9,Medium
61,63.5,6.2,75.4,95.2,6.1,4.2,6.4,Medium
62,76.9,4.8,44.0,85.2,7.8,6.2,10.0,Medium
63,74.2,4.7,68.1,100.0,4.9,5.1,3.6,Medium
64,47.0,0.8,48.7,89.1,6.0,3.8,4.2,High
65,85.3,2.6,86.4,56.1,6.1,4.4,6.5,Medium
66,95.1,5.0,51.1,63.0,6.3,5.5,7.3,Medium
67,76.6,6.5,60.6,69.8,7.2,7.0,6.3,Medium
68,73.8,2.7,77.6,62.6,7.4,1.0,8.6,Medium
69,62.0,3.2,82.8,50.6,6.9,4.3,4.5,High
70,94.1,7.8,40.4,48.8,8.0,1.9,5.7,Low
71,79.6,6.2,64.9,73.5,6.1,6.5,5.5,Medium
72,82.1,3.8,69.5,69.3,6.8,2.4,8.1,Medium
73,95.0,5.3,78.3,85.4,8.1,4.7,6.9,Low
74,88.4,4.9,54.4,72.4,4.7,4.2,7.3,Medium
75,92.8,5.1,81.0,72.0,5.8,1.7,4.6,Medium
76,61.6,6.1,65.1,81.1,7.1,6.1,8.6,Medium
